银行,厂商,机器型号,设备类型,操作系统,杀毒软件,是否有测试机,SP测试版本,中间件测试版本,生产使用SP版本,生产使用中间件版本,生产设备数量,银行前置P,备注
兴业银行,晓星,BS900,VTM,WIN7,McAfee,有,,ZJAXV2_0_0_Update_013P,,ZJAXV2_0_0_Update_013P,1,,
兴业银行,怡化,YH_6040T,存取款一体机(CRS),XP SP3,McAfee,有,074,Kal076F,074,Kal076F,30,,
兴业银行,怡化,YH_6040W,存取款一体机(CRS),XP SP3,McAfee,有,074,Kal076F,074,Kal076F,481,,
浙江农信,NCR,NCR_5887,取款机(ATM),XP,,有,6.1.1,ZJAXV2_0_0_Update_015P,,,,,
浙江农信,NCR,NCR_6625,取款机(ATM),XP,,有,6.1.1,ZJAXV2_0_0_Update_014P,,,,,
浙江农信,NCR,NCR_6635,存取款一体机(CRS),XP,,有,20141113,ZJAXV2_0_0_Update_014P,,,,,
浙江农信,NCR,NCR_6683,存取款一体机(CRS),XP,,,06.02.00,ZJAXV2_0_0_Update_018P,,,,,
浙江农信,OKI,OKI_21S,存取款一体机(CRS),XP,,有,2.1.5.0,ZJAXV2_0_0_Update_014P,,,,,
浙江农信,OKI,OKI_21SE,存取款一体机(CRS),XP,,有,2.9.1.0,ZJAXV2_0_0_Update_014P,,,,,
浙江农信,WINCOR,WINCOR_4000XS,存取款一体机(CRS),XP,,有,ProBase11.30,ZJAXV2_0_0_Update_014P,,,,,
浙江农信,WINCOR,WINCOR_4060,存取款一体机(CRS),XP,,有,ProBase11.30,ZJAXV2_0_0_Update_014P,,,,,
浙江农信,WINCOR,WINCOR_8050,取款机(ATM),XP,,有,ProBase11.30,ZJAXV2_0_0_Update_014P,,,,,
浙江农信,巴高,巴高,三农终端,XP,无，黑白名单,有,bgxfs_setup,,,ZJAXV2_0_0_Update_007P,,,
浙江农信,长城,BST306B,发卡机,XP SP2,无，黑白名单,有,GWIXFS_SP_V1.0.4.2,ZJAXV2_0_0_Update_007P,GWIXFS_SP_V1.0.4.2,ZJAXV2_0_0_Update_010P,47,,
浙江农信,长城湘计,湘计_305G,查询机,XP,无，黑白名单,有,3.0.0,ZJAXV2_0_0_Update_001P_Beta3,,ZJAXV2_0_0_Update_007P,2559,,
浙江农信,长城湘记,湘计_305G（助农）,三农终端,XP,无，黑白名单,有,3.0.0,,,ZJAXV2_0_0_Update_007P,,,
浙江农信,迪堡,OPTEVA_328,存取款一体机(CRS),XP,,有,2014Z1B,ZJAXV2_0_0_Update_014P,,,,,
浙江农信,迪堡,OPTEVA_562,取款机(ATM),XP,,有,2014Z1B,ZJAXV2_0_0_Update_014P,,,,,
浙江农信,迪堡,OPTEVA_569,取款机(ATM),XP,,有,2014Z1B,ZJAXV2_0_0_Update_014P,,,,,
浙江农信,东信,8600R,存取款一体机(CRS),XP SP3,,有,2.3.0.16,ZJAXV2_0_0_Update_018P,,,,,
浙江农信,东信,东信_8100,取款机(ATM),XP SP3,,有,2.3.0.16,ZJAXV2_0_0_Update_014P,,,,,
浙江农信,广电,H68N,存取款一体机(CRS),XP SP3,趋势,有,4.3.13.04.0266,ZJAXV2_0_0_Update_018P,,,,,
浙江农信,国光,GS1010,发卡机,XP SP2,无，黑白名单,有,ggspSetup_ZJNX_V1.3,ZJAXV2_0_0_Update_007P,,ZJAXV2_0_0_Update_010P,5,,
浙江农信,国光,NB2031B+,查询机,XP,无，黑白名单,有,0.0.2,ZJAXV2_0_0_Update_001P_Beta3,,ZJAXV2_0_0_Update_007P,399,,
浙江农信,恒银,CASH80AWG,存取款一体机(CRS),XP SP2,趋势,有,1.3.3.0_021,ZJAXV2_0_0_Update_018P,,,,,
浙江农信,金大,KSTFK,发卡机,WIN7,,有,NXFKJWIN7 V1.1,ZJAXV2_0_0_Update_018P,,,,,
浙江农信,金大,KSTFK,发卡机,XP SP2,无，黑白名单,有,,ZJAXV2_0_0_Update_007P,,ZJAXV2_0_0_Update_010P,3,,
浙江农信,金大,KTC-ZZ567-000,查询机,XP,无，黑白名单,有,WosaSetup 1.0.0.2,ZJAXV2_0_0_Update_001P_Beta3,,ZJAXV2_0_0_Update_007P,520,,
浙江农信,金大,KTC-ZZ567-000(助农),三农终端,XP,无，黑白名单,有,WosaSetup 1.0.0.2,,,ZJAXV2_0_0_Update_007P,,,
浙江农信,浪潮,浪潮_1511,查询机,XP,无，黑白名单,有,3.6,ZJAXV2_0_0_Update_001P_Beta3,,ZJAXV2_0_0_Update_007P,399,,
浙江农信,浪潮,浪潮_1511TN,发卡机,XP SP2,无，黑白名单,有,15.1.6,ZJAXV2_0_0_Update_007P,,ZJAXV2_0_0_Update_010P,6,,
浙江农信,南天,南天_3200,查询机,XP,无，黑白名单,有,3.0.002,ZJAXV2_0_0_Update_001P_Beta3,,ZJAXV2_0_0_Update_007P,34,,
浙江农信,日立,HT_2845SR,存取款一体机(CRS),WIN7,,有,6055T,ZJAXV2_0_0_Update_014P,,,,,
浙江农信,日立,HT_2845V,存取款一体机(CRS),XP,,有,4.1.1,ZJAXV2_0_0_Update_014P,,,,,
浙江农信,瑞至,RICH8500,查询机,XP SP2,无，黑白名单,有,,ZJAXV2_0_0_Update_007P,1.0.0.3,ZJAXV2_0_0_Update_007P,501,,
浙江农信,瑞至,RICH8500(助农),三农终端,XP,无，黑白名单,有,1.0.0.3,,,ZJAXV2_0_0_Update_007P,,,
浙江农信,实达,A-7800,查询机,XP,无，黑白名单,有,3.0.5.32,ZJAXV2_0_0_Update_001P_Beta3,,ZJAXV2_0_0_Update_007P,13,,
浙江农信,御银,KingTeller_A5(08),取款机(ATM),XP,,有,2.1.0,ZJAXV2_0_0_Update_014P,,,,,
浙商银行,NCR,NCR_58XX,取款机(ATM),XP,,无,5.0.1,ZJAXV2_0_0_Update_002P_Beta1,,ZJAXV2_0_0_Update_006P_T,,,
浙商银行,NCR,NCR_6625,取款机(ATM),XP,,,5.0.1,ZJAXV2_0_0_Update_002P_Beta1,,ZJAXV2_0_0_Update_006P_T,,,
浙商银行,长城,BST306B,发卡机,WIN7,,有,GWI_XFS310_浙商银行发卡机_v1.0.0.4,ZJAXV2_0_0_Update_018P,,,,,"发卡机发卡模块使用三个发卡箱，一个读卡器的模式；
目前正在测试中。"
浙商银行,长城,BST306Desktop,发卡机,WIN7,,有,GWI SP for CEN/XFS 3.10 1.0.0.0,ZJAXV2_0_0_Update_019P,GWI SP for CEN/XFS 3.10 1.0.0.0+补丁包1.0.0.1,ZJAXV2_0_0_Update_019P,,,便携式发卡机
浙商银行,长城湘计,湘计_306B,查询机,WIN7,,无,GWIXFS_SP_V3.1.1基线版本_浙商银行,ZJAXV2_0_0_Update_007P,,ZJAXV2_0_0_Update_007P,,,
浙商银行,广电,H68N_CENL,存取款一体机(CRS),WIN7,,有,ATM_GRG_XFS_SP4.0_WITH_SP11_0340_20160317,,ATM_GRG_XFS_SP4.0_WITH_SP11_0340_20160317,,,,
浙商银行,金大,KST300,查询机,XP SP3,,无,JDZSZZJSetUp1.04,ZJAXV2_0_0_Update_006P,,ZJAXV2_0_0_Update_007P,,,
浙商银行,日立,HT_2845V,存取款一体机(CRS),XP,,有,ZJHTSP_10023P,ZJAXV2_0_0_Update_002P_Beta1,ZJHTSP_10018P,ZJAXV2_0_0_Update_006P_T,136,,12款
重庆三峡银行,NCR,NCR_6626,取款机(ATM),XP,卡巴斯基,无,5.0.1,ZJAXV2_0_0_Update_005P,5.0.1,ZJAXV2_0_0_Update_014P,13,紫金,
重庆三峡银行,OKI,OKI_21SE,存取款一体机(CRS),XP,卡巴斯基,无,1.4.3.0,ZJAXV2_0_0_Update_004P_T2,1.4.3.0,ZJAXV2_0_0_Update_014P,17,紫金,
重庆三峡银行,OKI,OKI_21SE,存取款一体机(CRS),XP SP3,,无,3.0.7.0,ZJAXV2_0_0_Update_014P,,ZJAXV2_0_0_Update_014P,,紫金,
重庆三峡银行,WINCOR,WINCOR_4060,存取款一体机(CRS),XP,无,有,ProBase11301182,ZJAXV2_0_0_Update_014P,ProBase11301290,ZJAXV2_0_0_Update_014P,6,,
重庆三峡银行,北京立德,TELLER-580,取款机(ATM),XP,卡巴斯基,无,CQSPSetupF510GongDa V5801,ZJAXV2_0_0_Update_005P,CQSPSetupF510GongDa V5801,ZJAXV2_0_0_Update_014P,17,紫金,TELLER-580\TELLER-590合计17台
重庆三峡银行,东信,东信_8100,取款机(ATM),XP,,有,2.3.0.2,ZJAXV2_0_0_Update_014P,,ZJAXV2_0_0_Update_014P,,,
重庆三峡银行,东信,东信_8600,存取款一体机(CRS),XP,,有,2.3.0.16,ZJAXV2_0_0_Update_014P,,ZJAXV2_0_0_Update_014P,,,
重庆三峡银行,御银,KingTeller_A4（08）,取款机(ATM),XP,卡巴斯基,无,2.0.8,ZJAXV2_0_0_Update_004P,2.0.8,ZJAXV2_0_0_Update_014P,5,紫金,
重庆三峡银行,御银,KingTeller_A5（08）,取款机(ATM),XP,卡巴斯基,有,2.0.8,ZJAXV2_0_0_Update_004P,2.0.8,ZJAXV2_0_0_Update_014P,107,紫金,
重庆三峡银行,证通,ZT2074,查询机,XP SP3,,有,2.00.001,ZJAXV2_0_0_Update_014P,,ZJAXV2_0_0_Update_018P_T2,,紫金,
重庆三峡银行,中钞科堡,KEBA_R6,存取款一体机(CRS),XP SP3,卡巴斯基,有,20400P+rapup180,ZJAXV2_0_0_Update_004P,20400P+rapup180,ZJAXV2_0_0_Update_014P,83,紫金,
重庆银行,OKI,OKI_21S,存取款一体机(CRS),XP,无,无,1.8.0.0,KAL075,2.2.2.0,KAL075,13,紫金,支持冠字号及存取款模块优化升级包
重庆银行,OKI,OKI_21SE,存取款一体机(CRS),XP,无,无,2.2.2.0,KAL075,2.2.2.0,KAL075,95,紫金,支持冠字号及存取款模块优化升级包
重庆银行,WINCOR,WINCOR_2050XE,取款机(ATM),XP,无,无,ProDevice4160,KAL068,ProDevice4160,KAL068,15,紫金,
重庆银行,WINCOR,WINCOR_2050XEUSB,取款机(ATM),XP,无,有,ProDevice4160,KAL068,ProDevice4160,KAL068,13,紫金,
重庆银行,北京兆维,CWEA01,回单机|填单机,WIN7,,有,,ZJAXV2_0_0_Update_014P,,ZJAXV2_0_0_Update_016P,,紫金,
重庆银行,东信,东信_2000XE,取款机(ATM),XP,无,无,ProDevice4160,KAL068,ProDevice4160,KAL068,28,紫金,14台
重庆银行,东信,东信_8100,取款机(ATM),XP,,有,2.3.0.2,KAL075,,Kal075,,,
重庆银行,东信,东信_8600,存取款一体机(CRS),XP,,有,2.3.0.16,KAL075,,Kal075,,,
重庆银行,恒银,CASH80ALG,存取款一体机(CRS),XP,无,无,1.3.1.0(补丁1),KAL075,1.3.1.0(补丁1),KAL075,0,紫金,"补丁1优化读卡器IC卡读卡故障
0台"
重庆银行,恒银,CASH80ALI(80ALN),取款机(ATM),XP,无,无,1.3.1.0(补丁2),KAL075,1.3.1.0(补丁2),KAL075,1,紫金,"补丁1优化读卡器IC卡读卡故障
补丁2优化密码键盘参数输入"
重庆银行,恒银,CASH80AWF(90ALN),存取款一体机(CRS),XP,无,无,1.3.1.0(补丁1),KAL075,1.3.1.0(补丁1),KAL075,0,紫金,"补丁1优化读卡器IC卡读卡故障
0台"
重庆银行,恒银,CASH80AWG,存取款一体机(CRS),XP,无,有,1.3.1.0(补丁3),KAL075,1.3.1.0(补丁3),KAL075,86,紫金,补丁3 支持冠字号功能
重庆银行,恒银,CASH80AWI,取款机(ATM),XP,无,有,1.3.1.0(补丁1),KAL075,1.3.1.0(补丁1),KAL075,61,紫金,补丁1优化读卡器IC卡读卡故障
重庆银行,浪潮,浪潮_1511,查询机,XP SP2,无,有,3.1.15,Kal075,3.1.15,Kal075,116,紫金,
重庆银行,浪潮,浪潮_1711,查询机,XP SP2,无,无,3.1.15,Kal075,3.1.15,Kal075,29,紫金,
重庆银行,神州数码,神码_C6000,取款机(ATM),XP,无,无,1.0.9,KAL075,1.0.9,KAL075,1,紫金,
重庆银行,御银,KingTeller_A4（08）,取款机(ATM),XP,无,无,2.0.7,KAL075,2.0.7（补丁3）,KAL075,50,紫金,"需使用补丁2版本SP安装包
补丁3优化部分银行IC卡读卡功能"
重庆银行,御银,KingTeller_A5（08）,取款机(ATM),XP,无,有,2.0.7,KAL075,2.0.7（补丁3）,KAL075,172,紫金,"需使用补丁2版本SP安装包
补丁3优化部分银行IC卡读卡功能"
重庆银行,御银,KingTeller_K1（08）,存取款一体机(CRS),XP,无,无,2.0.7,KAL075,2.0.7（补丁4）,KAL075,25,紫金,"需使用补丁2版本SP安装包
补丁3优化部分银行IC卡读卡功能
补丁4支持冠字号功能"
重庆银行,御银,KingTeller_K2（08）,存取款一体机(CRS),XP,无,无,2.0.7,KAL075,2.0.7（补丁4）,KAL075,5,紫金,"需使用补丁2版本SP安装包
补丁3优化部分银行IC卡读卡功能
补丁4支持冠字号功能"
重庆银行,御银,KingTeller_K3,存取款一体机(CRS),XP SP3,无,,2.0.7（补丁4）,KAL075,2.0.7（补丁4）,KAL075,50,紫金,补丁4 支持冠字号功能
鄞州银行,长城,BST260A,查询机,WIN7,,有,GWI_XFS310_基线版本_v1.1.1.3_鄞州银行,ZJAXV2_0_0_Update_018P,GWI_XFS310_基线版本_v1.1.1.3_鄞州银行,ZJAXV2_0_0_Update_018P,7,,
鄞州银行,长城,BST260B,发卡机,WIN7,,有,GWI_XFS310_鄞州银行发卡机_v1.0.0.2,ZJAXV2_0_0_Update_018P,GWI_XFS310_鄞州银行发卡机_v1.0.0.2,ZJAXV2_0_0_Update_018P,10,,
鄞州银行,长城湘计,VTM1000B,VTM,WIN7,无,有,1.0.1.4,ZJAXV2_0_0_Update_010P,GWI_XFS310_鄞州银行VTM_v1.0.1,暂未投产,1,,
鄞州银行,长城湘计,湘计_305G,查询机,XP SP2,无,有,3.0.6.3,ZJAXV2_0_0_Update_006P,3.0.4,ZJAXV2_0_0_Update_006P,350,,
鄞州银行,广电,DT-7000 I63C,VTM,WIN7,无,有,无,ZJAXV2_0_0_Update_010P,,暂未投产,0,,
缙云村镇银行,日立,HT_2845SR-14款,存取款一体机(CRS),XP SP3,,有,ZJ_SP_10019S,ZJAXV2_0_0_Update_014P,ZJ_SP_10019S,ZJAXV2_0_0_Update_014P,3,,"杭州银行缙云村镇,与杭州银行版本分开,使用紫金SP及ZJAX中间件。"
