银行,厂商,机器型号,设备类型,操作系统,杀毒软件,是否有测试机,SP测试版本,中间件测试版本,生产使用SP版本,生产使用中间件版本,生产设备数量,银行前置P,备注
平安银行,新达通,NDT_F2112,取款机(ATM),XP SP3,Solidcore,无,01005,kal085,01005,kal085,4,,"F2112	          1
C90-NF3020         2
C90-NF3120         1"
秦皇岛银行,恒银,CASH80AWG,存取款一体机(CRS),XP SP2,暂无使用,有,1.3.1.1,ZJAXV2_0_0_Update_011D,1.3.1.1,ZJAXV2_0_0_Update_011D,18,,"生产上恒银设备AWI和AWG一共18台，后面了解到具体各多少台后进行修改完善。
已经上线终端冠字号功能"
秦皇岛银行,恒银,CASH80AWI,取款机(ATM),XP SP2,暂无使用,有,1.3.1.1,ZJAXV2_0_0_Update_011D,1.3.1.1,ZJAXV2_0_0_Update_011D,18,,生产上恒银设备AWI和AWG一共18台，后面了解到具体各多少台后进行修改完善。
秦皇岛银行,御银,KingTeller_A5（08）,取款机(ATM),XP SP2,暂无使用,有,2.0.9,ZJAXV2_0_0_Update_011D,2.0.9,ZJAXV2_0_0_Update_011D,36,,
日照银行,NCR,NCR_5877,取款机(ATM),XP SP3,,无,6.1.1,,,,3,文思海辉,
日照银行,NCR,NCR_5887,取款机(ATM),XP SP3,,无,6.1.1,,,,22,文思海辉,
日照银行,NCR,NCR_6622,取款机(ATM),XP SP3,,无,6.1.1,,,,5,文思海辉,
日照银行,NCR,NCR_6625,取款机(ATM),XP SP3,,无,6.1.1,,,,85,文思海辉,
日照银行,NCR,NCR_6633,存取款一体机(CRS),XP SP3,,无,20141113,,,,1,文思海辉,
日照银行,NCR,NCR_6635,存取款一体机(CRS),XP SP3,,无,20141113,,,,82,文思海辉,
日照银行,NCR,NCR_6636,存取款一体机(CRS),XP SP3,,无,6.1.1,,,,5,文思海辉,
日照银行,NCR,NCR_6674,存取款一体机(CRS),XP SP3,,无,6.1.1,,,,5,文思海辉,
日照银行,NCR,NCR_6683,存取款一体机(CRS),XP,,有,06.03.00,ZJAXV2_0_0_Update_018P,,,,文思海辉,
日照银行,长城,GWI312,查询机,XP,,无,,,,ZJAXV2_0_0_Update_018P,40,文思海辉,
日照银行,长城,PZ720-A,取款机(ATM),WIN7,,有,,,,ZJAXV2_0_0_Update_018P,,文思海辉,
日照银行,长城,PZ850-A,存取款一体机(CRS),WIN7,,无,,,,ZJAXV2_0_0_Update_018P,3,,
日照银行,恒银,CASH80AWB,存取款一体机(CRS),WIN7,,有,,,,ZJAXV2_0_0_Update_018P,,文思海辉,
日照银行,恒银,CASH80AWI,取款机(ATM),WIN7,,有,,,,ZJAXV2_0_0_Update_018P,,文思海辉,
日照银行,南天,南天_4200,查询机,XP,,无,,,,ZJAXV2_0_0_Update_018P,40,文思海辉,
日照银行,日立,HT_2845SR-12款,存取款一体机(CRS),WIN7,,无,,,,ZJAXV2_0_0_Update_018P,1,文思海辉,
绍兴银行,NCR,NCR_58XX,取款机(ATM),XP,趋势,有,5.0.1,KAL068,5.0.1,KAL068,27,紫金,27台
绍兴银行,OKI,21SE,存取款一体机(CRS),XP SP3,无,有,3.5.4.0,KAL068,3.5.4.0,KAL068,1,紫金,
绍兴银行,东信,8600R,存取款一体机(CRS),XP SP3,无,有,2.3.0.16,KAL068,2.3.0.16,KAL068,1,紫金,
绍兴银行,东信,东信_8100,取款机(ATM),XP,趋势,有,SP2062,KAL068,SP1285,KAL068,40,紫金,
绍兴银行,广电,H68N,存取款一体机(CRS),XP SP3,无,有,4.3.13.04.0340,KAL068,4.3.13.04.0340,KAL068,1,紫金,
绍兴银行,浪潮,BCM1511TN(BC),发卡机,WIN7,微点,无,,ZJAXV2_0_0_Update_018P,,,,,
绍兴银行,浪潮,PCM710,发卡机,WIN7,微点,无,26.2.1,ZJAXV2_0_0_Update_018P,26.2.1,,1,紫金,
绍兴银行,南天,南天_4230,查询机,XP SP3,无,有,3.0.015,ZJAXV2_0_0_Update_006P_T1,3.0.015,ZJAXV2_0_0_Update_008P,14,紫金,14台
绍兴银行,日立,HT_2845SR-14款,存取款一体机(CRS),XP SP3,无,有,ZJHTSP_10017P,Kal068,,Kal065/Kal068,3,紫金,
绍兴银行,日立,HT_2845V,存取款一体机(CRS),XP SP3,趋势,有,ZJHTSP_10013P,KAL068,ZJHTSP_10016D_T4,KAL068,62,紫金,62台
苏州银行,NCR,NCR_6625,取款机(ATM),XP SP3,Symantec,有,6.1.1,ZJAXV2_0_0_Update_020P_T2,6.1.1,ZJAXV2_0_0_Update_020P_T2,,联银通,
苏州银行,迪堡,OPTEVA_520C,取款机(ATM),XP SP3,Symantec,有,Opteva-XFS-4.0.3.8-2014Z1B,ZJAXV2_0_0_Update_020P_T2,Opteva-XFS-4.0.3.8-2014Z1B,ZJAXV2_0_0_Update_020P_T2,,联银通,
苏州银行,迪堡,OPTEVA_569,取款机(ATM),XP SP3,Symantec,有,Opteva-XFS-4.0.3.8-2014Z1B,ZJAXV2_0_0_Update_020P_T2,Opteva-XFS-4.0.3.8-2014Z1B,ZJAXV2_0_0_Update_020P_T2,,联银通,
苏州银行,国光,GS1010,发卡机,WIN7,Symantec,有,ggspSetup_SZFKJ_V1.9,ZJAXV2_0_0_Update_020P_T2,ggspSetup_SZFKJ_V1.9,ZJAXV2_0_0_Update_020P_T2,,联银通,
苏州银行,南天,5200,查询机,XP SP3,Symantec,有,SEA_NTBST_SZYH_3_0_002,ZJAXV2_0_0_Update_020P_T2,SEA_NTBST_SZYH_3_0_002,ZJAXV2_0_0_Update_020P_T2,,联银通,
苏州银行,证通,ZT2074,查询机,XP SP3,Symantec,有,V2.00.003,ZJAXV2_0_0_Update_020P_T2,V2.00.003,ZJAXV2_0_0_Update_020P_T2,,联银通,
苏州银行,怡化,YH_6040WF,存取款一体机(CRS),WIN7,Symantec,有,YHSP_V5.1.3.3_Build860,ZJAXV2_0_0_Update_020P_T2,YHSP_V5.1.3.3_Build860,ZJAXV2_0_0_Update_020P_T2,,联银通,
台州银行,NCR,NCR_58XX,取款机(ATM),XP,瑞星,无,5.0.1,ZJAXV2_0_0_Update_010P,5.0.1,ZJAXV2_0_0_Update_010P,35,,已上线
台州银行,NCR,NCR_6622,取款机(ATM),XP,瑞星,无,5.0.1,ZJAXV2_0_0_Update_010P,5.0.1,ZJAXV2_0_0_Update_010P,2,,已上线
台州银行,NCR,NCR_6625,取款机(ATM),XP,瑞星,有,5.0.1,ZJAXV2_0_0_Update_011P_T1,5.0.1,ZJAXV2_0_0_Update_010P,70,,已上线
台州银行,NCR,NCR_6636,存取款一体机(CRS),XP,瑞星,有,5.0.1,ZJAXV2_0_0_Update_011P_T1,5.0.1,ZJAXV2_0_0_Update_010P,10,,已上线
台州银行,NCR,NCR_6674,存取款一体机(CRS),XP,瑞星,无,5.0.1,ZJAXV2_0_0_Update_011P_T1,5.0.1,ZJAXV2_0_0_Update_010P,1,,已上线
台州银行,长城,BST306B,发卡机,XP SP3,无,有,GWIXFS_SP_1.0.6.3_台州银行,ZJAXV2_0_0_Update_018P,,暂未投产,0,,未上线
台州银行,广电,GRG_H38N,取款机(ATM),XP SP3,瑞星,有,SP4.0 WITH SP10_0908,ZJAXV2_0_0_Update_011P_T1,SP4.0 WITH SP10_0908,ZJAXV2_0_0_Update_010P,2,,已上线
台州银行,南天,NT_GKJ_001,发卡机,XP SP3,无,有,SEA_NTBST_TZYH_3_0_013,ZJAXV2_0_0_Update_018P,SEA_NTBST_TZYH_3_0_013,,1,,已上线
